Micro-market,Quarter,Year,Grade A supply (sq ft),Occupied space (sq ft, derived),Vacancy(%),Average asking rent (₹/sq ft/month),Rent movement (vs prev. quarter, derived)(%),New supply (sq ft, derived),Absorption (net, sq ft)
Central (CBD/Off CBD),Q1,2025,8090906,7888633,2.50,162.1,0.00,0,39763
Central (CBD/Off CBD),Q2,2025,8530906,8181139,4.10,162.1,0.00,440000,294000
Central (CBD/Off CBD),Q3,2025,8530906,8283510,2.90,162.1,0.00,0,100000
Central (CBD/Off CBD),Q4,2025,8530906,8334695,2.30,162.1,0.00,0,55000
Central (CBD/Off CBD),Q1,2026,8530906,8360288,2.00,162,-0.10,0,25000
Central (CBD/Off CBD),Q2,2026,8611906,8362161,2.90,163,0.60,81000,6000
ORR,Q1,2025,90135401,84456871,6.30,103.7,0.00,1839716,1142184
ORR,Q2,2025,90135401,85628631,5.00,104,0.30,0,1136420
ORR,Q3,2025,93266490,87110902,6.60,104.5,0.50,3131089,1540089
ORR,Q4,2025,93266490,88976231,4.60,105,0.50,0,1853000
ORR,Q1,2026,95066490,90788498,4.50,106,1.00,1800000,1809915
ORR,Q2,2026,97566490,92102767,5.60,107,0.90,2500000,1333463
Whitefield (Peripheral East),Q1,2025,43206992,36466701,15.60,70.5,0.00,1015000,814300
Whitefield (Peripheral East),Q2,2025,44006992,37493957,14.80,71,0.70,800000,1017403
Whitefield (Peripheral East),Q3,2025,44006992,38066048,13.50,72,1.40,0,553000
Whitefield (Peripheral East),Q4,2025,44631992,39811737,10.80,73,1.40,625000,1747000
Whitefield (Peripheral East),Q1,2026,44846442,40630876,9.40,73.5,0.70,214450,807000
Whitefield (Peripheral East),Q2,2026,46026442,41699956,9.40,75,2.00,1180000,1105453
North (Peripheral North),Q1,2025,14695898,11506888,21.70,74.6,0.00,40608,201562
North (Peripheral North),Q2,2025,14695898,12080028,17.80,74.6,0.00,0,573909
North (Peripheral North),Q3,2025,14695898,12491513,15.00,74.6,0.00,0,410608
North (Peripheral North),Q4,2025,16375898,12936959,21.00,74.6,0.00,1680000,442000
North (Peripheral North),Q1,2026,16375898,13215350,19.30,74.6,0.00,0,285000
North (Peripheral North),Q2,2026,17675898,13398331,24.20,74.6,0.00,1300000,180000
Electronic City (Peripheral South),Q1,2025,12982885,11489853,11.50,68.6,0.00,180000,129808
Electronic City (Peripheral South),Q2,2025,12982885,11593716,10.70,68.6,0.00,0,104402
Electronic City (Peripheral South),Q3,2025,12982885,11658631,10.20,68.6,0.00,0,59688
Electronic City (Peripheral South),Q4,2025,12982885,11749511,9.50,68.6,0.00,0,95000
Electronic City (Peripheral South),Q1,2026,12982885,11749511,9.50,68.6,0.00,0,0
Electronic City (Peripheral South),Q2,2026,12982885,12100049,6.80,69,0.60,0,347102
Koramangala (Suburban South),Q1,2025,9449337,8995769,4.80,90.3,0.00,200000,35814
Koramangala (Suburban South),Q2,2025,9449337,9014667,4.60,90.3,0.00,0,21000
Koramangala (Suburban South),Q3,2025,9449337,9146958,3.20,90.3,0.00,0,131000
Koramangala (Suburban South),Q4,2025,9949337,9213086,7.40,90.3,0.00,500000,65000
Koramangala (Suburban South),Q1,2026,11009337,9468030,14.00,91,0.80,1060000,262000
Koramangala (Suburban South),Q2,2026,11709337,9695331,17.20,92,1.10,700000,228000
